city	state	permalink	created_at	lat	long
Seattle	WA	ubyl-zbhagnva-oerjvat	2014-06-30 21:50:38	47.630808	-122.374517
Hudson	MA	zrqhfn-oerjvat-pbzcnal	2014-07-01 00:30:22	42.39095	-71.566769
Denver	Colorado	fgne-one-2aq	2014-07-01 00:42:38	39.743029	-104.969927
West Hollywood	CA	gur-ubea	2014-07-01 02:41:54	34.084443	-118.385162
Fairfax	Virginia	tlfcl-fbhy	2014-07-01 15:41:48	38.873687	-77.230076
Chicago	IL	sng-jvyyl-f	2014-07-01 16:14:28	41.930462	-87.688725
Fort Collins	CO	cngrebf-perrx-oerjvat	2014-07-01 16:32:51	40.589988	-105.076418
Pasadena	CA	chapu	2014-07-01 23:54:18	34.145522	-118.153826
NY	NY	205-pyho	2014-07-02 19:04:59	40.722419	-73.992002
New York	NY	znxb-al	2014-07-03 15:58:48	40.760481	-74.003246
Brooklyn	NY	gur-svapu	2014-07-03 19:51:55	40.68682	-73.962868
Lewiston	ME	znepur-zr	2014-07-07 16:57:57	44.097993	-70.21753
Traverse City	MI	genirefr-pvgl-juvfxrl	2014-07-07 19:30:58	44.751643	-85.620905
Omaha	NE	becurhz-gurnger-ubyynaq-cresbezvat-negf-pragre	2014-07-07 23:26:07	41.256086	-95.936878
Omaha	NE	ubyynaq-cresbezvat-negf-pragre	2014-07-08 00:17:59	41.258652	-95.931836
Denver	CO	pnsr-pbyber	2014-07-08 14:33:54	39.748407	-104.997604
Sanford	FL	fzbxrl-wbr-f-oneordhr	2014-07-08 18:17:46	28.807303	-81.331719
Lewisville	TX	onqtref-ood	2014-07-10 20:30:23	33.0429	-97.033738
Miami	FL	fgngvba-5	2014-07-10 20:34:34	25.70453	-80.28831
Port Chester	NY	arffn	2014-07-10 20:39:51	41.005827	-73.658805
South Bend	IN	gur-cho	2014-07-10 22:38:51	41.70245	-86.199942
Pasadena	CA	cnfnqran-cvmmn-pb	2014-07-11 00:29:39	34.151755	-118.113064
Brattleboro	VT	qhb-erfgnhenag-irezbag	2014-07-11 18:58:14	42.853078	-72.558603
Denver	CO	qhb-erfgnhenag-qraire	2014-07-11 19:35:59	39.762181	-105.016191
Boise	Idaho	tbar-ebthr-cho	2014-07-11 19:37:21	43.613108	-116.206274
Summerville	SC	rin-f-ba-znva	2014-07-11 21:46:45	33.019241	-80.175212
Brooklyn 	NY	pbbxyla	2014-07-14 19:53:35	40.677055	-73.968681
New York	NY	r-f-one	2014-07-15 15:08:56	40.78665	-73.975354
		neguhe-urael-f-fhccre-pyho	2014-07-15 17:04:27	38.552183	-121.469394
Washington	DC	ngynf-oerj-jbexf	2014-07-15 17:55:48	38.914857	-76.981435
Westport	CT	arng	2014-07-15 21:00:38	41.141114	-73.364564
Gaithersburg 	MD	fuvfunonon-f-ubhfr-bs-ubbxnu	2014-07-15 21:58:07	39.120671	-77.178072
Dallas	TX	gw-f-serfu-frnsbbq-znexrg-cerfgba-eblnyr	2014-07-16 18:45:28	32.896317	-96.803179
Dallas	Texas	gw-f-serfu-frnsbbq-znexrg-bnx-ynja	2014-07-16 18:57:55	32.820047	-96.802067
Vienna	VA	pnobbfr-oerjvat-pbzcnal	2014-07-16 21:38:12	38.907732	-77.270579
Eugene	OR	ryx-ubea-oerjrel	2014-07-17 16:51:05	44.04965	-123.082427
Brooklyn	NY	fnzhenv-znzn	2014-07-17 21:24:57	40.714215	-73.960091
Germantown	MD	znelynaq-ubbxnu-gjb	2014-07-17 21:28:51	39.178815	-77.271208
Brooklyn	NY	obmh	2014-07-17 22:32:30	40.712827	-73.957562
Douglas	MI	gur-xveol	2014-07-18 15:30:21	42.643641	-86.206807
Wilmington	DE	glyre-f	2014-07-18 21:36:39	39.747238	-75.69893
Hartford	CT	arj-orne-f-fzbxrubhfr-oneorphr-jvaqfbe	2014-07-21 14:47:17	41.761761	-72.670687
Annapolis	Maryland	cerfreir	2014-07-21 16:17:02	38.977889	-76.489742
Wimberley	Texas	wboryy-pnsr-naqr-ovfgeb	2014-07-21 18:50:15	30.04013	-98.103357
Fort Lauderdale	FL	cbfu-jvar-one	2014-07-21 18:58:44	26.123234	-80.13678
Jersey City	NJ	gncunhf	2014-07-21 20:53:59	40.721495	-74.031811
Hoboken	NJ	fzbxvat-oneery	2014-07-21 21:02:13	40.753103	-74.029929
Columbus	OH	erfgber-pbyq-cerffrq	2014-07-22 03:14:20	39.988501	-83.032495
Brooklyn	NY	g-o-q-oebbxyla	2014-07-22 16:13:43	40.733337	-73.958003
Jonestown	TX	ebyyvat-guhaqre-ebnqubhfr	2014-07-22 16:16:11	30.493562	-97.924195
Oak Bluffs	MA	erq-png-xvgpura	2014-07-22 21:15:54	41.4568928	-70.5571154
New York	NY 	cerfgb-one-ol-fpbggb	2014-07-23 19:00:26	40.749886	-73.97322
Saratoga	CA	fnengbtn-jvar-orre-tneqra	2014-07-23 19:08:27	37.258275	-122.031776
Sarasota	FL	znggb-znggb-gjb	2014-07-23 19:30:28	27.331622	-82.53875
Torrance	CA	ybh-f-ba-gur-uvyy	2014-07-23 23:36:40	33.797813	-118.35031
Phoenix	Arizona	terrazvk	2014-07-23 23:47:24	33.303559	-111.998552
New York	NY	o-b-o-xvgpura	2014-07-24 04:23:00	40.756784	-73.966775
Elon	North Carolina	gur-bnx-ubhfr	2014-07-24 15:51:15	36.101062	-79.506904
Carrboro	NC	wrffrr-f-pbssrr-naq-one	2014-07-24 16:09:51	35.910736	-79.066605
Las Cruces	NM	sbeturqnobhqvg-cvmmn-yyp	2014-07-24 18:43:53	32.310504	-106.74356
Portland	ME	prageny-cebivfvbaf	2014-07-25 17:57:47	43.656028	-70.253784
Santa Fe	NM	yn-zrfvgn	2014-07-25 18:41:52	35.881722	-106.012496
Chicago	IL	ivpr-qvfgevpg-oerjvat-pb	2014-07-25 19:27:28	41.862493	-87.62447
Tulsa	OK	qbja-gbja-ghyfn	2014-07-25 23:03:25	36.156401	-95.995255
Charlotte	NC	znynone-erfgnhenag	2014-07-29 18:47:40	35.156338	-80.831878
Brooklyn	NY	wraavsre-f-pbeare	2014-07-29 19:38:07	40.692181	-73.989136
Kenosha	Wisconsin	jvar-xabg-one-naq-ovfgeb	2014-07-29 20:33:12	42.584771	-87.818231
